case,stage,J,T_target_C,t_plan_s,K_P,K_I,taper_K,hold_s,q_boost_min,ice_warn,delta_V,risk_warn,L_obs,rate_gain,ff_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case3,DE_seed20260926,0.926429389918,1,60,0.15,0.015,1,2,0.6,0.8,0.1,0.7,0.02,0.1,1,57.3502211094,59.3502211094,59.3502211094,2005.38486172,944.421154937,3.71238619348,229.871885037,2723.64651782,-2.23110419029e-11,4.39101879857e-20,0.606480999465,0.090149471934,4.56136752223,0.242211923514,4.80357944574,-14.0539305778,0.358601264136,0.0107655379758,0.510362262906,0,9.96503324302e-10,0.902375269208,8.22261965324,0.242211923514,0.606480999465,0.0900349451156,0,1929.39747082,6.96599895822e-20,True
case3,DE_seed20260926,0.960980938708,3.36006912983,47.7615827698,0.394668878698,0.0191447521218,0.531937126992,2,0.6,0.8,0.1,0.7,0.02,0.327562761304,1,44.85869205,46.85869205,46.85869205,2089.19799007,576.099009575,1.01389966956,188.742812714,2477.5680866,2.55795384874e-12,2.62919026828e-20,0.627052786548,0.0440927964102,2.4264579699,0.715482638924,3.14194060882,-15.2122306937,0.376192916495,0.00819114493871,0.510362262906,0,9.98490623516e-10,1,5.03075563109,0.715482638924,0.627052786548,0.0439830810081,0,1984.70105068,6.89146005886e-20,True
case3,DE_seed20260926,10.5271608855,1.99421290656,141.331740017,0.0407044817774,0.0215551971304,0.903800512854,2,0.6,0.8,0.1,0.7,0.02,0.150862591766,1,-1,-1,96.6666666667,749.475162264,2238.27947705,25.5105422936,312.527962203,2700.7372194,5.85487214266e-12,2.41506033921e-18,0.553697814701,0.399472517719,8.36997226746,-5.60762936214,1.88600335532,-13.0788564277,0.280997701563,0.0126508689844,0.507907930882,0,9.97962601446e-10,0.221150241967,-1,-22.0958071689,1.26054452142,0,0,0,3.44722080742e-18,False
case3,DE_seed20260926,0.862667055961,1.54682558841,91.3915688509,0.333178359111,0.057113436217,1.71292329768,2,0.6,0.8,0.1,0.7,0.02,0.361048873605,1,85.357076335,87.357076335,87.357076335,1848.14580789,1884.12916836,8.56087098243,336.006628384,3404.82921884,-1.11981535156e-11,6.95515693649e-19,0.576403272377,0.21771815174,7.19178182406,0.229067078945,7.420848903,-10.859481268,0.311319314831,0.0119610411639,0.510362262906,0,9.99504479182e-10,0.605515403799,16.6071229005,0.229067078945,0.59575534613,0.217516401888,0,1795.52703865,2.95987193089e-18,True
case3,DE_seed20260926,1.0106640112,1.24246609673,6.22053546193,0.534363440525,0.0300079245348,0.355813718781,2,0.6,0.8,0.1,0.7,0.02,0.286757460936,1,28.5633512497,30.5633512497,30.5633512497,2206.26356687,232.987030746,-1.22240350742,146.537763741,2291.49043037,-4.09272615798e-12,6.11218974739e-20,0.656007930975,0.00636990869224,10.3681012326,0.475473241309,3.41037971793,-16.1090236228,0.3916,0.0051712127896,0.510362262906,0,3.20115045582e-10,1,2.03966258653,0.475473241309,0.656007930975,0.00635941948727,0,2106.26356687,9.7781483431e-20,True
case3,DE_seed20260926,10.7549435374,3.36875495664,112.76073441,0.606481504742,0.0097526255143,0.383568163173,2,0.6,0.8,0.1,0.7,0.02,0.101197020404,1,-1,-1,96.6666666667,1644.16159542,2204.08579271,12.3385860793,364.39918978,3496.18678443,1.1027623259e-11,6.95298853215e-18,0.568044762035,0.286485184028,7.55514674059,-0.256261016206,6.7299792105,-10.2618191342,0.293620703857,0.0123990172393,0.509837708689,0,9.99926141887e-10,0.512586756704,-1,-22.0958071689,1.26054452142,0,0,0,6.98063568755e-18,False
case3,DE_seed20260926,0.968301808902,3.96349662561,30.4717852131,0.217932415852,0.0398666574804,0.968192124144,2,0.6,0.8,0.1,0.7,0.02,0.00834756805664,1,33.2059939623,35.2059939623,35.2059939623,2111.50258476,315.892556971,-0.620020030603,149.013766029,2277.76135567,4.26325641456e-12,9.70360944375e-20,0.646351675396,0.0178559709796,4.89356542502,0.63346321033,5.0785129303,-16.3762316119,0.389829605229,0.0060053697449,0.510362262906,0,9.96241755757e-10,1,2.75659508756,0.63346321033,0.646351675396,0.0178158017256,0,2011.35772843,1.01237377856e-19,True
case3,DE_seed20260926,10.4622855698,0.269084613718,144.184150821,0.636260959187,0.0338791233723,0.428198111511,2,0.6,0.8,0.1,0.7,0.02,0.301411140504,1,-1,-1,96.6666666667,497.656943737,2247.94741804,29.3986038662,298.153381558,2476.84958409,-1.43245415529e-11,3.08184467529e-18,0.546198573036,0.42574014598,8.60175643599,-7.0909141176,0.558045619948,-13.8797851478,0.27674455803,0.0127293201286,0.50712761999,0,9.99032856441e-10,0.313670978112,-1,-22.0958071689,1.26054452142,0,0,0,3.08184467529e-18,False
case3,DE_seed20260926,10.4509564507,3.87303770618,170.386986167,0.147511085002,0.0466204137084,0.745252088495,2,0.6,0.8,0.1,0.7,0.02,0.249306351715,1,-1,-1,96.6666666667,453.6134729,2249.64138704,30.0614292199,295.658512246,2437.65777691,-3.97903932026e-13,2.86825684731e-18,0.544629331082,0.43016967765,8.65695954489,-7.35087415406,0.32621760741,-14.0200852892,0.275974853481,0.0127434461593,0.50714378066,0,9.9594821279e-10,0.27619042425,-1,-22.0958071689,1.26054452142,0,0,0,2.8883145875e-18,False
case3,DE_seed20260926,10.438887742,0.66153334922,152.752661298,0.421211702279,0.012902801018,1.3531211,2,0.6,0.8,0.1,0.7,0.02,0.348700802066,1,-1,-1,96.6666666667,402.155744729,2251.44716336,30.777175626,292.866044414,2391.5140393,6.13908923697e-12,2.8883145875e-18,0.54273036536,0.435165962125,8.68906971917,-7.6896222152,0.0449468400463,-14.1796947475,0.275102556447,0.0127606092648,0.507028418443,0,9.97669502567e-10,0.342970923446,-1,-22.0958071689,1.26054452142,0,0,0,2.8883145875e-18,False
