case,strategy,cell,energy_J,average_power_W_cm2,peak_power_W_cm2,heating_duration_s
case1,dynamic,1,1372.89484223,0.568253007136,0.92259148371,96.6396886587
case1,dynamic,2,27.547600884,0.0114021894178,0.397273417149,23.8
case1,dynamic,3,27.5844351646,0.0114174354439,0.397273417149,24
case1,dynamic,4,27.547600884,0.0114021894178,0.397273417149,23.8
case1,dynamic,5,1372.89484223,0.568253007136,0.92259148371,96.6396886587
case1,constant_hold,1,693.530719878,1,1,27.7412287951
case1,constant_hold,2,693.530719878,1,1,27.7412287951
case1,constant_hold,3,433.117950927,0.624511558772,0.624511558772,27.7412287951
case1,constant_hold,4,693.530719878,1,1,27.7412287951
case1,constant_hold,5,693.530719878,1,1,27.7412287951
case1,constant_first,1,643.530719878,1,1,25.7412287951
case1,constant_first,2,643.530719878,1,1,25.7412287951
case1,constant_first,3,401.892372988,0.624511558772,0.624511558772,25.7412287951
case1,constant_first,4,643.530719878,1,1,25.7412287951
case1,constant_first,5,643.530719878,1,1,25.7412287951
case2,dynamic,1,0,0,0,0
case2,dynamic,2,0,0,0,0
case2,dynamic,3,0,0,0,0
case2,dynamic,4,0,0,0,0
case2,dynamic,5,0,0,0,0
case2,constant_hold,1,190.152239203,1,1,7.60608956814
case2,constant_hold,2,190.152239203,1,1,7.60608956814
case2,constant_hold,3,118.752271309,0.624511558772,0.624511558772,7.60608956814
case2,constant_hold,4,190.152239203,1,1,7.60608956814
case2,constant_hold,5,190.152239203,1,1,7.60608956814
case2,constant_first,1,140.152239203,1,1,5.60608956814
case2,constant_first,2,140.152239203,1,1,5.60608956814
case2,constant_first,3,87.5266933704,0.624511558772,0.624511558772,5.60608956814
case2,constant_first,4,140.152239203,1,1,5.60608956814
case2,constant_first,5,140.152239203,1,1,5.60608956814
case3,dynamic,1,854.709112043,0.353720695205,0.548920818826,96.6535601258
case3,dynamic,2,16.5069709724,0.0068313969815,0.23022862769,17.4
case3,dynamic,3,16.3583312948,0.00676988256761,0.229850692468,17.2
case3,dynamic,4,16.5070233248,0.0068314186475,0.230228757435,17.4
case3,dynamic,5,854.709766951,0.353720966238,0.548921065742,96.6535601258
case3,constant_hold,1,475.921959727,1,1,19.0368783891
case3,constant_hold,2,475.921959727,1,1,19.0368783891
case3,constant_hold,3,297.218764923,0.624511558772,0.624511558772,19.0368783891
case3,constant_hold,4,475.921959727,1,1,19.0368783891
case3,constant_hold,5,475.921959727,1,1,19.0368783891
case3,constant_first,1,425.921959727,1,1,17.0368783891
case3,constant_first,2,425.921959727,1,1,17.0368783891
case3,constant_first,3,265.993186985,0.624511558772,0.624511558772,17.0368783891
case3,constant_first,4,425.921959727,1,1,17.0368783891
case3,constant_first,5,425.921959727,1,1,17.0368783891
