cooling_min,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,mean_capacity_C,mean_length_C,mean_seven_nodes_C,field_min_C,field_max_C,field_range_K,cell_range_K,center_minus_left_EP_K,surface_left_C,surface_right_C,relative_field_range,Bi_stack
10.0,4.014819379118714,4.191906969967469,4.240249447485393,4.1919074926794755,4.01480453929,3.7423180908440323,3.742271178002442,3.8124055081136077,3.893417708787189,4.019753871055362,3.4160122479905297,4.240645653541442,0.8246334055509124,0.2254449081953931,0.4979313566413608,3.4160586909713118,3.4160122479905297,0.024388486804141567,0.1396374269005848
15.0,-3.329380942079303,-3.190528721833233,-3.1526240191834005,-3.1905284402397625,-3.3293928506727535,-3.543045958751564,-3.5430830780706395,-3.4880914087896326,-3.424570697183481,-3.3255120015472364,-3.7988988634042613,-3.152313358569373,0.6465855048348885,0.17676883148935296,0.3904219395681636,-3.7988621042440833,-3.7988988634042613,0.024388493292001406,0.1396374269005848
20.0,-9.087881969273099,-8.979009585661107,-8.949288960039002,-8.979009374705992,-9.087891327592377,-9.255414187841481,-9.255443318399895,-9.212324985868404,-9.16251914465596,-9.084848389073278,-9.456025460537937,-8.949045374704603,0.5069800858333338,0.13860236755337496,0.30612522780247886,-9.455996611742734,-9.456025460537937,0.02438849392674676,0.1396374269005848
25.0,-13.603054755351724,-13.517689203133031,-13.494385611295495,-13.517689038480375,-13.603062094705257,-13.734414792941157,-13.734437635843038,-13.700629058580299,-13.661576885577832,-13.600676161678582,-13.891711729132215,-13.494194618905407,0.3975171102268078,0.1086764834097611,0.2400291816456619,-13.891689107108963,-13.891711729132215,0.024388493988847362,0.1396374269005848
30.0,-17.14334851452765,-17.07641439132209,-17.058142319685036,-17.07641426227778,-17.143354269351438,-17.246346371565515,-17.246364282567093,-17.219855375582213,-17.189235027063052,-17.141483487328085,-17.369681045230145,-17.057992564803264,0.3116884804268807,0.08521194966640167,0.18820405188047928,-17.369663307413177,-17.369681045230145,0.024388493994924567,0.1396374269005848
35.0,-19.91925111952585,-19.866768862516718,-19.85244194653253,-19.866768761339046,-19.919255631824797,-20.000010525128822,-20.00002456894565,-19.979239247449854,-19.955230193116932,-19.91778877368763,-20.096715788939065,-19.85232452549498,0.24439126344408635,0.06681368529226717,0.14756857859629235,-20.09670188091397,-20.096715788939065,0.024388493995517468,0.1396374269005848
40.0,-22.095803630831313,-22.05465291175142,-22.043419345808587,-22.054652832419542,-22.095807168872458,-22.159126128803553,-22.159137140395664,-22.142839614819792,-22.124014398326892,-22.094657022697508,-22.234951586233407,-22.043327277357157,0.19162430887624993,0.0523878230638708,0.11570678299496606,-22.234940681113958,-22.234951586233407,0.02438849399557661,0.1396374269005848
45.0,-23.802412798577887,-23.770147004816295,-23.761338898177513,-23.770146942613128,-23.802415572714306,-23.852063222816533,-23.85207185687619,-23.839293159181103,-23.824532528833466,-23.801513756655982,-23.911517070185873,-23.76126670839001,0.15025036179586237,0.04107667453679298,0.09072432463901947,-23.91150851961018,-23.911517070185873,0.024388493995583585,0.1396374269005848
50.0,-25.14054493015199,-25.11524570160036,-25.108339369011482,-25.115245652827593,-25.14054710531966,-25.179475242537297,-25.179482012401714,-25.169462386169386,-25.157888749906476,-25.13984000197858,-25.226092303440403,-25.10828276585006,0.11780953759034318,0.03220773630817675,0.07113587352581519,-25.226085599034782,-25.226092303440403,0.024388493995582464,0.1396374269005848
55.0,-26.189758561129576,-26.169921734239878,-26.164506560266144,-26.169921695997726,-26.189760266652907,-26.220283360175276,-26.220288668346146,-26.212432397524907,-26.20335764575676,-26.189205835258235,-26.256835248125302,-26.16446217839448,0.09237306973082227,0.025253706386763497,0.055776799909132535,-26.256829991279904,-26.256835248125302,0.024388493995581354,0.1396374269005848
60.0,-27.012434601450188,-26.996880779314907,-26.992634805234108,-26.99688074932968,-27.012435938730935,-27.036368736567276,-27.036372898641485,-27.03021288929727,-27.02309748340556,-27.012001215609796,-27.065028641049217,-26.99260000593169,0.07242863511752873,0.019801133496827106,0.043733931333168385,-27.065024519218706,-27.065028641049217,0.024388493995581465,0.1396374269005848
65.0,-27.657485187275128,-27.645289618681364,-27.641960400454526,-27.645289595170315,-27.657486235821203,-27.67625166049401,-27.67625492392734,-27.67142493321237,-27.66584582732637,-27.657145374546268,-27.698723553766317,-27.641933114731703,0.05679043903461434,0.015525835366677398,0.03429126003948468,-27.698720321887592,-27.698723553766317,0.024388493995582988,0.1396374269005848
70.0,-28.16326174801092,-28.153699346433253,-28.151088945665144,-28.153699327998506,-28.163262570163536,-28.177976318449844,-28.177978877269446,-28.174191738483927,-28.16981722732307,-28.16299530485581,-28.195596265074574,-28.151067551251508,0.04452871382306611,0.012173624498391433,0.026887372784699437,-28.195593730996563,-28.195596265074574,0.02438849399558055,0.1396374269005848
75.0,-28.55983518738324,-28.552337421024127,-28.55029063655225,-28.55233740656966,-28.559835832023417,-28.57137270861468,-28.571374714954967,-28.568405264074578,-28.56497526143842,-28.55962627244605,-28.585188301065934,-28.550273861444712,0.03491443962122176,0.009545195471165613,0.02108207206242696,-28.58518631412524,-28.585188301065934,0.024388493995580462,0.1396374269005848
80.0,-28.870783746539075,-28.864904836317706,-28.86329997674002,-28.864904824984126,-28.870784251993847,-28.879830180936764,-28.879831754084535,-28.877503442651978,-28.87481401801652,-28.870619938799443,-28.89066282412488,-28.863286823575937,0.02737600054894429,0.007484275253826667,0.016530204196744336,-28.8906612661881,-28.89066282412488,0.024388493995582527,0.1396374269005848
85.0,-29.114594846430517,-29.109985262224278,-29.108726910746892,-29.10998525333775,-29.11459524275164,-29.12168804900583,-29.121689282492447,-29.119863680943432,-29.117754934788675,-29.11446640671276,-29.130181796838578,-29.108716597505975,0.021465199332602936,0.0058683320047485665,0.01296113825893741,-29.130180575278715,-29.130181796838578,0.024388493995579935,0.1396374269005848
90.0,-29.305764255903405,-29.302149935263312,-29.30116327670286,-29.302149928295496,-29.305764566654123,-29.311325952430757,-29.311326919593082,-29.309895486937975,-29.30824204393513,-29.30566354783472,-29.317985799985365,-29.301155190212228,0.01683060977313744,0.004601289951263965,0.010162675727897863,-29.317984842174674,-29.317985799985365,0.024388493995582305,0.1396374269005848
95.0,-29.455657936439227,-29.452823990229565,-29.45205036288267,-29.45282398476618,-29.455658180095224,-29.460018797127177,-29.46001955546776,-29.45889718599608,-29.457600740827694,-29.455578972429688,-29.465240705091013,-29.452044022360685,0.013196682730328035,0.0036078172125542096,0.007968434244506994,-29.465239954082943,-29.465240705091013,0.024388493995583647,0.1396374269005848
100.0,-29.573187804458005,-29.57096574064049,-29.570359148557003,-29.57096573635671,-29.573187995505798,-29.576607103919276,-29.57660769852518,-29.575727661852493,-29.574711134477973,-29.573125889708926,-29.580701540399865,-29.57035417702846,0.010347363371405294,0.0028288469487947054,0.006247955362272961,-29.58070095154329,-29.580701540399865,0.02438849399558976,0.1396374269005848
