time_s,j_A_cm2,charge_C_cm2,stopped,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,cell1_q_W_cm2,cell2_q_W_cm2,cell3_q_W_cm2,cell4_q_W_cm2,cell5_q_W_cm2,cell1_V_V,cell2_V_V,cell3_V_V,cell4_V_V,cell5_V_V,cell1_ice_bulk,cell2_ice_bulk,cell3_ice_bulk,cell4_ice_bulk,cell5_ice_bulk,cell1_pore_ice_bulk,cell2_pore_ice_bulk,cell3_pore_ice_bulk,cell4_pore_ice_bulk,cell5_pore_ice_bulk,cell1_mem_ice_bulk,cell2_mem_ice_bulk,cell3_mem_ice_bulk,cell4_mem_ice_bulk,cell5_mem_ice_bulk,cell1_pore_ice_saturation,cell2_pore_ice_saturation,cell3_pore_ice_saturation,cell4_pore_ice_saturation,cell5_pore_ice_saturation,cell1_lambda,cell2_lambda,cell3_lambda,cell4_lambda,cell5_lambda,cell1_j_over_jlim,cell2_j_over_jlim,cell3_j_over_jlim,cell4_j_over_jlim,cell5_j_over_jlim,cell1_gas_porosity,cell2_gas_porosity,cell3_gas_porosity,cell4_gas_porosity,cell5_gas_porosity,cell1_state,cell2_state,cell3_state,cell4_state,cell5_state,cell1_risk,cell2_risk,cell3_risk,cell4_risk,cell5_risk,cell1_rT_K_s,cell2_rT_K_s,cell3_rT_K_s,cell4_rT_K_s,cell5_rT_K_s,cell1_rV_V_s,cell2_rV_V_s,cell3_rV_V_s,cell4_rV_V_s,cell5_rV_V_s,cell1_ice_est,cell2_ice_est,cell3_ice_est,cell4_ice_est,cell5_ice_est,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,water_inventory_kg,water_produced_kg,water_out_kg
0,0,0,0,-30,-30,-30,-30,-30,-30,-30,0,0,0,0,0,1.26757512098,1.26757512098,1.26757512098,1.26757512098,1.26757512098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7415e-05,0,0
0.025,0.000125,1.5625e-06,0,-29.9758808422,-29.9678393724,-29.9678165435,-29.9678393724,-29.9758808422,-29.9999913278,-29.9999913278,0.445310788419,0.397273417149,0.397273417149,0.397273417149,0.445310788419,0.906645590391,0.90667320954,0.906673287363,0.90667320954,0.906645590391,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,3.7029796481e-10,3.7029796481e-10,3.7029796481e-10,3.7029796481e-10,3.7029796481e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,8.80194829593e-10,8.80194829593e-10,8.80194829593e-10,8.80194829593e-10,8.80194829593e-10,2.99992609453,2.99992609453,2.99992609453,2.99992609453,2.99992609453,4.3739669822e-06,4.37375002858e-06,4.3737494127e-06,4.37375002858e-06,4.3739669822e-06,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30152614268,0.000106302892675,-0.00107443133628,0.000120595789012,1.30043741845,4.96929293504e-14,-1.22091858413e-22,1.74145970669e-05,1.82185054672e-11,4.21151584366e-10
0.05,0.00025,6.25e-06,0,-29.9518189581,-29.9356917761,-29.9356233583,-29.9356917761,-29.9518189581,-29.9999740071,-29.9999740071,0.445310788419,0.397273417149,0.397273417149,0.397273417149,0.445310788419,0.877638645577,0.877691608304,0.877691831961,0.877691608304,0.877638645577,1.87599151061e-09,1.87557825675e-09,1.87557708356e-09,1.87557825675e-09,1.87599151061e-09,1.87599151061e-09,1.87557825675e-09,1.87557708356e-09,1.87557825675e-09,1.87599151061e-09,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,4.45921442978e-09,4.45823212918e-09,4.45822934052e-09,4.45823212918e-09,4.45921442978e-09,2.99986228096,2.99986227435,2.99986227433,2.99986227435,2.99986228096,8.74751271904e-06,8.74692244862e-06,8.746919552e-06,8.74692244862e-06,8.74751271904e-06,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60305228536,0.000452154662007,-0.00200335149547,0.00036150099867,2.60113958752,1.24400489909e-13,-2.22187329977e-21,1.74142787561e-05,7.28740218687e-11,7.94117949378e-10
0.075,0.000375,1.40625e-05,0,-29.9278165749,-29.9035610451,-29.9034243511,-29.9035610451,-29.9278165749,-29.9999480624,-29.9999480624,0.445310788419,0.397273417149,0.397273417149,0.397273417149,0.445310788419,0.860684356725,0.860762070496,0.860762506423,0.860762070496,0.860684356725,5.27904734562e-09,5.27677688277e-09,5.27676784308e-09,5.27677688277e-09,5.27904734562e-09,5.27904734562e-09,5.27677688277e-09,5.27676784308e-09,5.27677688277e-09,5.27904734562e-09,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,1.25482466024e-08,1.25428497332e-08,1.2542828246e-08,1.25428497332e-08,1.25482466024e-08,2.99979774067,2.99979772546,2.99979772539,2.99979772546,2.99979774067,1.31206822928e-05,1.31195751018e-05,1.31195676518e-05,1.31195751018e-05,1.31206822928e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90457842803,0.00104942834564,-0.00294422355518,0.000722418124342,3.9019612147,1.66860524963e-12,-1.44035305703e-21,1.74139935461e-05,1.63966549205e-10,1.17042047935e-09
0.1,0.0005,2.5e-05,0,-29.9038730486,-29.8714467277,-29.871219143,-29.8714467277,-29.9038730486,-29.9999135179,-29.9999135179,0.445310788419,0.397273417149,0.397273417149,0.397273417149,0.445310788419,0.848664084166,0.848766214089,0.848766927278,0.848766214089,0.848664084166,1.13371560124e-08,1.13299334554e-08,1.13298965537e-08,1.13299334554e-08,1.13371560124e-08,1.13371560124e-08,1.13299334554e-08,1.13298965537e-08,1.13299334554e-08,1.13371560124e-08,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,2.69483147431e-08,2.6931146792e-08,2.6931059077e-08,2.6931146792e-08,2.69483147431e-08,2.99973339916,2.99973337228,2.99973337215,2.99973337228,2.99973339916,1.74934658598e-05,1.74916929798e-05,1.74916781008e-05,1.74916929798e-05,1.74934658598e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20610457071,0.00190482068024,-0.00388412856274,0.00120305288138,5.20292220995,2.21439663481e-12,-5.31804341978e-21,1.74137450031e-05,2.91496087475e-10,1.54649294296e-09
0.125,0.000625,3.90625e-05,0,-29.8799880141,-29.8393487842,-29.8390077674,-29.8393487842,-29.8799880141,-29.9998703979,-29.9998703979,0.445310788419,0.397273417149,0.397273417149,0.397273417149,0.445310788419,0.839347041698,0.839473370438,0.839474424747,0.839473370438,0.839347041698,2.08041308858e-08,2.0786587639e-08,2.07864784034e-08,2.0786587639e-08,2.08041308858e-08,2.08041308858e-08,2.0786587639e-08,2.07864784034e-08,2.0786587639e-08,2.08041308858e-08,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,4.94512262557e-08,4.94095261207e-08,4.94092664688e-08,4.94095261207e-08,4.94512262557e-08,2.99966921984,2.99966917845,2.9996691782,2.99966917845,2.99966921984,2.186586544e-05,2.18632768335e-05,2.18632510491e-05,2.18632768335e-05,2.186586544e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50763071339,0.00302303792508,-0.00482406816571,0.00180311281112,6.50402657034,2.83047673841e-12,-1.08261398571e-22,1.74135328346e-05,4.55462636679e-10,1.92262801585e-09
0.15,0.00075,5.625e-05,0,-29.8561611072,-29.8072671731,-29.8067902559,-29.8072671731,-29.8561611072,-29.9998187262,-29.9998187262,0.445310788419,0.397273417149,0.397273417149,0.397273417149,0.445310788419,0.831739630813,0.831890009464,0.831891467814,0.831890009464,0.831739630813,3.44299334438e-08,3.43938020216e-08,3.43935369812e-08,3.43938020216e-08,3.44299334438e-08,3.44299334438e-08,3.43938020216e-08,3.43935369812e-08,3.43938020216e-08,3.44299334438e-08,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,8.18396326214e-08,8.17537485657e-08,8.17531185672e-08,8.17537485657e-08,8.18396326214e-08,2.99960524096,2.99960518216,2.99960518174,2.99960518216,2.99960524096,2.6237883721e-05,2.6234328314e-05,2.62342875506e-05,2.6234328314e-05,2.6237883721e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.80915685607,0.00440771277241,-0.00576393196518,0.00252230727491,7.8052783296,2.34982953234e-12,-1.56939323258e-21,1.74133570622e-05,6.55866196818e-10,2.29880402049e-09
0.175,0.000875,7.65625e-05,0,-29.8323919793,-29.7752018721,-29.7745666601,-29.7752018721,-29.8323919793,-29.9997585267,-29.9997585267,0.445310788419,0.397273417149,0.397273417149,0.397273417149,0.445310788419,0.825311863879,0.825486188205,0.825488112708,0.825486188205,0.825311863879,5.29606990333e-08,5.28941855651e-08,5.28936244206e-08,5.28941855651e-08,5.29606990333e-08,5.29606990333e-08,5.28941855651e-08,5.28936244206e-08,5.28941855651e-08,5.29606990333e-08,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,1.25887090643e-07,1.25728988745e-07,1.2572765491e-07,1.25728988745e-07,1.25887090643e-07,2.99954149272,2.99954141363,2.999541413,2.99954141363,2.99954149272,3.06095234072e-05,3.06048491108e-05,3.06047887009e-05,3.06048491108e-05,3.06095234072e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11068299875,0.00606180341813,-0.00670369899583,0.00336034737839,9.10668075579,1.91175070566e-12,-4.0271122686e-21,1.74132176826e-05,8.92706767891e-10,2.67502418185e-09
0.2,0.001,0.0001,0,-29.8086802911,-29.7431528699,-29.7423370425,-29.7431528699,-29.8086802911,-29.9996898231,-29.9996898231,0.445310788419,0.397273417149,0.397273417149,0.397273417149,0.445310788419,0.81974740223,0.819945599323,0.819948051377,0.819945599323,0.81974740223,7.7138762342e-08,7.70259168584e-08,7.70248413893e-08,7.70259168584e-08,7.7138762342e-08,7.7138762342e-08,7.70259168584e-08,7.70248413893e-08,7.70259168584e-08,7.7138762342e-08,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,1.8335812299e-07,1.83089890322e-07,1.83087333942e-07,1.83089890322e-07,1.8335812299e-07,2.99947800416,2.99947790189,2.99947790097,2.99947790189,2.99947800416,3.49807871916e-05,3.49748409151e-05,3.49747555997e-05,3.49748409151e-05,3.49807871916e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4122091414,0.00798780427462,-0.00764334041228,0.00431694592269,10.4082366594,2.05330544234e-12,-6.07746139655e-21,1.7413114695e-05,1.1659843499e-09,3.05128931402e-09
0.225,0.001125,0.0001265625,0,-29.8009502699,-29.7356142012,-29.7348006157,-29.7356142012,-29.8009502699,-29.9996183649,-29.9996183649,0.151616132995,0.0948599614537,0.0926110561609,0.0948599614537,0.151616132995,0.814793861838,0.814989863755,0.814992281391,0.814989863755,0.814793861838,1.07702682644e-07,1.07522767238e-07,1.07520856988e-07,1.07522767238e-07,1.07702682644e-07,1.07702682644e-07,1.07522767238e-07,1.07520856988e-07,1.07522767238e-07,1.07702682644e-07,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,6.25635518925e-10,2.56008278213e-07,2.5558062096e-07,2.55576080314e-07,2.5558062096e-07,2.56008278213e-07,2.99941480262,2.99941467429,2.99941467302,2.99941467429,2.99941480262,3.935554053e-05,3.93502442113e-05,3.93501778365e-05,3.93502442113e-05,3.935554053e-05,0.3916,0.3916,0.3916,0.3916,0.3916,3,3,3,3,3,0.200000033229,0.200000033181,0.200000033181,0.200000033181,0.200000033229,0.445292211093,0.597805773078,0.599704592624,0.597805773078,0.445292211093,-1.04230868977,-1.0418473906,-1.0418416835,-1.0418473906,-1.04230868977,8.22423798039e-08,8.21234983042e-08,8.21223687895e-08,8.21234983042e-08,8.22423798039e-08,10.7781861696,0.0101880845011,-0.00858282770591,0.00531219457317,10.7744792318,1.94016330779e-12,-2.52151120486e-21,1.74130480988e-05,1.47569894284e-09,3.42760016544e-09
