time_s,j_A_cm2,charge_C_cm2,stopped,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,cell1_q_W_cm2,cell2_q_W_cm2,cell3_q_W_cm2,cell4_q_W_cm2,cell5_q_W_cm2,cell1_V_V,cell2_V_V,cell3_V_V,cell4_V_V,cell5_V_V,cell1_ice_bulk,cell2_ice_bulk,cell3_ice_bulk,cell4_ice_bulk,cell5_ice_bulk,cell1_pore_ice_bulk,cell2_pore_ice_bulk,cell3_pore_ice_bulk,cell4_pore_ice_bulk,cell5_pore_ice_bulk,cell1_mem_ice_bulk,cell2_mem_ice_bulk,cell3_mem_ice_bulk,cell4_mem_ice_bulk,cell5_mem_ice_bulk,cell1_pore_ice_saturation,cell2_pore_ice_saturation,cell3_pore_ice_saturation,cell4_pore_ice_saturation,cell5_pore_ice_saturation,cell1_lambda,cell2_lambda,cell3_lambda,cell4_lambda,cell5_lambda,cell1_j_over_jlim,cell2_j_over_jlim,cell3_j_over_jlim,cell4_j_over_jlim,cell5_j_over_jlim,cell1_gas_porosity,cell2_gas_porosity,cell3_gas_porosity,cell4_gas_porosity,cell5_gas_porosity,cell1_state,cell2_state,cell3_state,cell4_state,cell5_state,cell1_risk,cell2_risk,cell3_risk,cell4_risk,cell5_risk,cell1_rT_K_s,cell2_rT_K_s,cell3_rT_K_s,cell4_rT_K_s,cell5_rT_K_s,cell1_rV_V_s,cell2_rV_V_s,cell3_rV_V_s,cell4_rV_V_s,cell5_rV_V_s,cell1_ice_est,cell2_ice_est,cell3_ice_est,cell4_ice_est,cell5_ice_est,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,water_inventory_kg,water_produced_kg,water_out_kg
0,0,0,0,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,-22.1591261288,-22.1591371404,0,0,0,0,0,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7415e-05,0,0
0.025,0.000125,1.5625e-06,0,-22.0813341043,-22.0359808992,-22.0247446862,-22.0359808199,-22.0813376401,-22.1590981581,-22.159109167,0.301059098852,0.231824073848,0.231445476166,0.231824203587,0.301059423072,0.933046153169,0.933198302568,0.933235878395,0.933198302833,0.933046141345,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,2.62825098336e-10,2.62266527368e-10,2.62114052712e-10,2.62266526291e-10,2.62825146363e-10,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,6.24732822287e-10,6.23405104274e-10,6.23042673431e-10,6.23405101715e-10,6.24732936446e-10,2.99992609478,2.99992609478,2.99992609478,2.99992609478,2.99992609478,4.30482947076e-06,4.30436871338e-06,4.30427238488e-06,4.3043687127e-06,4.30482950103e-06,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.810757672203,0.000100946230177,-0.00107607057998,0.0395933206391,0.770189227214,2.50910403565e-13,-1.69214683549e-21,1.7414596699e-05,1.82185054672e-11,4.2151949228e-10
0.05,0.00025,6.25e-06,0,-22.0668981751,-22.01731217,-22.0060613173,-22.0173120908,-22.0669017086,-22.159065007,-22.1590760132,0.301059098852,0.231824073848,0.231445476166,0.231824203587,0.301059423072,0.903070338925,0.903230964967,0.903267253211,0.903230965223,0.903070327529,1.35227320399e-09,1.34933031911e-09,1.3485854032e-09,1.34933031386e-09,1.35227343846e-09,1.35227320399e-09,1.34933031911e-09,1.3485854032e-09,1.34933031386e-09,1.35227343846e-09,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,3.21434086996e-09,3.20734565989e-09,3.20557500165e-09,3.20734564739e-09,3.21434142729e-09,2.9998597893,2.99985977818,2.99985977582,2.99985977818,2.9998597893,8.60943373622e-06,8.60843422278e-06,8.6082409235e-06,8.60843422142e-06,8.60943379671e-06,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62151534441,0.000431626372297,-0.00204284057758,0.0792588209299,1.54064530927,6.86145584794e-13,-3.5090986818e-21,1.74142636632e-05,7.28740218687e-11,8.09210795161e-10
0.075,0.000375,1.40625e-05,0,-22.0524974198,-21.9986494022,-21.9873719353,-21.998649323,-22.0525009511,-22.1590266899,-22.1590376934,0.301059098852,0.231824073848,0.231445476166,0.231824203587,0.301059423072,0.885539987704,0.885710840598,0.885746434079,0.885710840848,0.88553997656,3.83153035825e-09,3.82279638839e-09,3.82073283133e-09,3.82279637384e-09,3.8315310069e-09,3.83153035825e-09,3.82279638839e-09,3.82073283133e-09,3.82279637384e-09,3.8315310069e-09,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,9.10751214227e-09,9.08675157686e-09,9.08184652086e-09,9.08675154229e-09,9.10751368411e-09,2.9997932793,2.99979325794,2.99979325361,2.99979325794,2.9997932793,1.29138381572e-05,1.29122277339e-05,1.29119364958e-05,1.29122277318e-05,1.29138382479e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43227301661,0.00100432582912,-0.00301397059822,0.118996325003,2.31126704684,4.04343225568e-13,-3.32381022459e-21,1.74139662891e-05,1.63966549205e-10,1.19767744954e-09
0.1,0.0005,2.5e-05,0,-22.0381314508,-21.9799923459,-21.9686763098,-21.9799922668,-22.0381349799,-22.1589832211,-22.158994222,0.301059098852,0.231824073848,0.231445476166,0.231824203587,0.301059423072,0.873104712572,0.873286471478,0.873321633096,0.873286471724,0.873104701607,8.26075347388e-09,8.24091428759e-09,8.23651655462e-09,8.24091425666e-09,8.26075485352e-09,8.26075347388e-09,8.24091428759e-09,8.23651655462e-09,8.24091425666e-09,8.26075485352e-09,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,1.96357344281e-08,1.95885768661e-08,1.95781234956e-08,1.95885767926e-08,1.96357377074e-08,2.99972691774,2.99972688527,2.99972687894,2.99972688527,2.99972691774,1.72180377302e-05,1.72157415625e-05,1.72153511177e-05,1.72157415597e-05,1.72180378511e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24303068881,0.0018259840388,-0.00398486747327,0.158805658926,3.08206614645,-2.55240273361e-13,-7.29242428027e-22,1.74137053846e-05,2.91496087475e-10,1.5861115116e-09
0.125,0.000625,3.90625e-05,0,-22.0238000001,-21.9613409267,-21.9499743863,-21.9613408476,-22.023803527,-22.1589346151,-22.1589456132,0.301059098852,0.231824073848,0.231445476166,0.231824203587,0.301059423072,0.863461052157,0.863654079623,0.863688968511,0.863654079865,0.863461041333,1.51978825018e-08,1.51593904496e-08,1.51513496032e-08,1.51593903932e-08,1.51978850177e-08,1.51978825018e-08,1.51593904496e-08,1.51513496032e-08,1.51593903932e-08,1.51978850177e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,3.61252258183e-08,3.60337305673e-08,3.60146175498e-08,3.60337304332e-08,3.61252317988e-08,2.99966072859,2.99966068425,2.99966067591,2.99966068425,2.99966072859,2.15220340522e-05,2.15189764916e-05,2.15184852674e-05,2.15189764882e-05,2.15220342031e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05378836102,0.00290148447028,-0.00495566482317,0.198686650108,3.85304753055,6.80844269851e-14,-3.00167300683e-21,1.74134809153e-05,4.55462636679e-10,1.97454732053e-09
0.15,0.00075,5.625e-05,0,-22.0095028175,-21.9426950941,-21.9312661345,-21.942695015,-22.0095063421,-22.1588808858,-22.1588918813,0.301059098852,0.231824073848,0.231445476166,0.231824203587,0.301059423072,0.85558301511,0.855787540875,0.855822269724,0.855787541116,0.855583004402,2.51986529193e-08,2.51313978292e-08,2.51181056588e-08,2.51313977362e-08,2.51986570649e-08,2.51986529193e-08,2.51313978292e-08,2.51181056588e-08,2.51313977362e-08,2.51986570649e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,5.98969643909e-08,5.97370996653e-08,5.97055042995e-08,5.97370994443e-08,5.98969742451e-08,2.99959474479,2.99959468784,2.99959467748,2.99959468784,2.9995947448,2.58258290754e-05,2.58219337682e-05,2.58213398881e-05,2.58219337641e-05,2.58258292564e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86454603322,0.00423460157348,-0.00592633895584,0.238639127209,4.62421516863,4.32626157121e-13,-5.07663902981e-21,1.74132928804e-05,6.55866196818e-10,2.36298575947e-09
0.175,0.000875,7.65625e-05,0,-21.995239666,-21.9240548155,-21.9125515425,-21.9240547364,-21.9952431884,-22.1588220474,-22.1588330402,0.301059098852,0.231824073848,0.231445476166,0.231824203587,0.301059423072,0.848923323225,0.849139510336,0.849174166907,0.849139510574,0.848923312614,3.88166081996e-08,3.87075855874e-08,3.86871269521e-08,3.87075854449e-08,3.88166145558e-08,3.88166081996e-08,3.87075855874e-08,3.86871269521e-08,3.87075854449e-08,3.88166145558e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,9.22667178503e-08,9.20075721118e-08,9.19589421252e-08,9.20075717729e-08,9.22667329589e-08,2.99952899717,2.99952892683,2.99952891443,2.99952892683,2.99952899718,3.0129424759e-05,3.01246146576e-05,3.01239159417e-05,3.01246146529e-05,3.012942497e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67530370542,0.00582841294731,-0.00689687048616,0.278662920074,5.39557232781,6.29163388055e-13,-3.94929111657e-22,1.74131412785e-05,8.92706767891e-10,2.75142825362e-09
0.2,0.001,0.0001,0,-21.9810103183,-21.9054200701,-21.8938306104,-21.905419991,-21.9810138385,-22.1587581139,-22.158769104,0.301059098852,0.231824073848,0.231445476166,0.231824203587,0.301059423072,0.843155310215,0.843383284252,0.843417941317,0.843383284488,0.84315529969,5.66031121665e-08,5.64360887285e-08,5.6406232126e-08,5.64360885213e-08,5.66031214011e-08,5.66031121665e-08,5.64360887285e-08,5.6406232126e-08,5.64360885213e-08,5.66031214011e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,1.34545072894e-07,1.3414805973e-07,1.34077090863e-07,1.34148059238e-07,1.34545094844e-07,2.99946351487,2.99946343036,2.99946341592,2.99946343036,2.99946351487,3.44328230554e-05,3.44270204259e-05,3.44262143921e-05,3.44270204205e-05,3.44328232963e-05,0.3916,0.3916,0.3916,0.3916,0.3916,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48606137762,0.00768551698001,-0.00786723919154,0.318757859682,6.16712179573,5.33573185635e-13,8.53385694359e-22,1.74130261085e-05,1.1659843499e-09,3.13987584147e-09
0.225,0.001125,0.0001265625,0,-21.9752996776,-21.900020361,-21.8884366638,-21.900020282,-21.9753031969,-22.1586921501,-22.1587031375,0.144575325854,0.0684827019428,0.0669803447955,0.0684828316307,0.144575623573,0.838042525113,0.838267990635,0.838302396216,0.83826799087,0.838042514659,7.91073612388e-08,7.8862537692e-08,7.88207240709e-08,7.88625374032e-08,7.9107374106e-08,7.91073612388e-08,7.8862537692e-08,7.88207240709e-08,7.88625374032e-08,7.9107374106e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,1.88037464319e-07,1.87455521017e-07,1.87356130428e-07,1.87455520331e-07,1.88037494904e-07,2.9993983254,2.99939822598,2.99939820947,2.99939822598,2.99939832541,3.87379887832e-05,3.8732211293e-05,3.87313189441e-05,3.87322112869e-05,3.87379890544e-05,0.3916,0.3916,0.3916,0.3916,0.3916,3,3,3,3,3,0.200000024432,0.20000002436,0.200000024347,0.20000002436,0.200000024432,0.267178788036,0.347335998087,0.348164332682,0.347335997414,0.267178829646,-0.971571499164,-0.970956263997,-0.970852497448,-0.970956263284,-0.971571530936,6.04684214836e-08,6.02911931198e-08,6.02594746955e-08,6.02911929348e-08,6.04684313177e-08,6.794246895,0.00980827680563,-0.00883742447106,0.358881352495,6.43633639484,5.02597963248e-13,-1.28060793713e-21,1.74129473696e-05,1.47569894284e-09,3.52832932455e-09
