time_s,j_A_cm2,charge_C_cm2,stopped,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,cell1_q_W_cm2,cell2_q_W_cm2,cell3_q_W_cm2,cell4_q_W_cm2,cell5_q_W_cm2,cell1_V_V,cell2_V_V,cell3_V_V,cell4_V_V,cell5_V_V,cell1_ice_bulk,cell2_ice_bulk,cell3_ice_bulk,cell4_ice_bulk,cell5_ice_bulk,cell1_pore_ice_bulk,cell2_pore_ice_bulk,cell3_pore_ice_bulk,cell4_pore_ice_bulk,cell5_pore_ice_bulk,cell1_mem_ice_bulk,cell2_mem_ice_bulk,cell3_mem_ice_bulk,cell4_mem_ice_bulk,cell5_mem_ice_bulk,cell1_pore_ice_saturation,cell2_pore_ice_saturation,cell3_pore_ice_saturation,cell4_pore_ice_saturation,cell5_pore_ice_saturation,cell1_lambda,cell2_lambda,cell3_lambda,cell4_lambda,cell5_lambda,cell1_j_over_jlim,cell2_j_over_jlim,cell3_j_over_jlim,cell4_j_over_jlim,cell5_j_over_jlim,cell1_gas_porosity,cell2_gas_porosity,cell3_gas_porosity,cell4_gas_porosity,cell5_gas_porosity,cell1_state,cell2_state,cell3_state,cell4_state,cell5_state,cell1_risk,cell2_risk,cell3_risk,cell4_risk,cell5_risk,cell1_rT_K_s,cell2_rT_K_s,cell3_rT_K_s,cell4_rT_K_s,cell5_rT_K_s,cell1_rV_V_s,cell2_rV_V_s,cell3_rV_V_s,cell4_rV_V_s,cell5_rV_V_s,cell1_ice_est,cell2_ice_est,cell3_ice_est,cell4_ice_est,cell5_ice_est,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,water_inventory_kg,water_produced_kg,water_out_kg
0,0,0,0,-17.1433485145,-17.0764143913,-17.0581423197,-17.0764142623,-17.1433542694,-17.2463463716,-17.2463642826,0,0,0,0,0,1.25621471728,1.2561555729,1.25613942732,1.25615557279,1.25621472237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7415e-05,0,0
0.025,0.000125,1.5625e-06,0,-17.0921178434,-16.9956753293,-17.0074683159,-16.9956752175,-17.0921236231,-17.2462909176,-17.2463088243,1,1,0.624511558772,1,1,0.949733042174,0.950057672124,0.950016292017,0.950057672497,0.949733022845,4.01530081579e-10,4.00123690172e-10,3.99739428311e-10,4.00123687418e-10,4.01530202436e-10,1.96112607804e-10,1.95221363897e-10,1.94978132883e-10,1.95221362179e-10,1.96112684447e-10,4.01530081579e-10,4.00123690172e-10,3.99739428311e-10,4.00123687418e-10,4.01530202436e-10,4.66157850734e-10,4.6403937223e-10,4.63461214363e-10,4.64039368147e-10,4.66158032914e-10,2.99992609502,2.99992609503,2.99992609503,2.99992609503,2.99992609502,4.26207665339e-06,4.26078357115e-06,4.26138187676e-06,4.26078357051e-06,4.26207670189e-06,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89031972423,9.75532198643e-05,-0.00107772128888,0.0645393963338,2.82480015983,-5.37875299855e-13,-4.98227426553e-22,1.74145964826e-05,1.82185054672e-11,4.21735906952e-10
0.05,0.00025,6.25e-06,0,-17.0409938453,-16.9150974098,-16.9566157777,-16.9150973152,-17.0409996498,-17.2462171016,-17.2462350039,1,1,0.624511558772,1,1,0.919282363023,0.919690750368,0.919554899143,0.919690750673,0.919282344301,1.02342106934e-09,1.01754340143e-09,1.01786031011e-09,1.01754339383e-09,1.02342144812e-09,1.02342106934e-09,1.01754340143e-09,1.01786031011e-09,1.01754339383e-09,1.02342144812e-09,4.01530081579e-10,4.00123690172e-10,3.99739428311e-10,4.00123687418e-10,4.01530202436e-10,2.43266239443e-09,2.4186912323e-09,2.41944452131e-09,2.41869121424e-09,2.43266329479e-09,2.99985893589,2.99985891237,2.99985892495,2.99985891237,2.99985893589,8.52329048071e-06,8.52018770595e-06,8.52189696707e-06,8.52018770496e-06,8.52329057811e-06,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78063944846,0.000418520993349,-0.00205861182561,0.129334412596,5.64966494504,3.10584891139e-14,-5.38395317099e-21,1.74142579628e-05,7.28740218687e-11,8.14911271415e-10
0.075,0.000375,1.40625e-05,0,-16.9899777263,-16.8346817666,-16.9055888878,-16.834681689,-16.9899835555,-17.246124969,-17.2461428669,1,1,0.624511558772,1,1,0.901519133205,0.902011774617,0.901786080692,0.902011774861,0.901519114808,2.91496771136e-09,2.89457674235e-09,2.89956804573e-09,2.89457672363e-09,2.91496876675e-09,2.91496771136e-09,2.89457674235e-09,2.89956804573e-09,2.89457672363e-09,2.91496876675e-09,4.01530081579e-10,4.00123690172e-10,3.99739428311e-10,4.00123687418e-10,4.01530202436e-10,6.92885122739e-09,6.88038208309e-09,6.89224636493e-09,6.88038203857e-09,6.92885373605e-09,2.99979169965,2.99979165131,2.99979167931,2.99979165131,2.99979169965,1.27837221351e-05,1.27783385922e-05,1.27816177103e-05,1.27783385912e-05,1.27837222817e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6709591727,0.000975322970889,-0.00304204944005,0.194384509392,8.47450793684,-2.32369679054e-13,-3.42360129368e-21,1.74139556652e-05,1.63966549205e-10,1.20830135008e-09
0.1,0.0005,2.5e-05,0,-16.939069011,-16.7544270451,-16.8543893087,-16.7544269847,-16.9390748648,-17.2460145648,-17.2460324585,1,1,0.624511558772,1,1,0.888949173575,0.889525572326,0.889213114009,0.889525572513,0.888949155387,6.2979663387e-09,6.24586557852e-09,6.26515841041e-09,6.24586554361e-09,6.29796859623e-09,6.2979663387e-09,6.24586557852e-09,6.26515841041e-09,6.24586554361e-09,6.29796859623e-09,4.01530081579e-10,4.00123690172e-10,3.99739428311e-10,4.00123687418e-10,4.01530202436e-10,1.49702076033e-08,1.48463645793e-08,1.48922234619e-08,1.48463644963e-08,1.49702129694e-08,2.99972460067,2.99972452423,2.99972457079,2.99972452423,2.99972460068,1.70433527524e-05,1.70352060977e-05,1.70405187845e-05,1.70352060969e-05,1.70433529487e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5612788969,0.00177492997717,-0.00402545902034,0.259689149702,11.2993392182,-8.38218383592e-15,-2.90796998704e-21,1.74136897816e-05,2.91496087475e-10,1.60171451808e-09
0.125,0.000625,3.90625e-05,0,-16.888267306,-16.6743320236,-16.8030188075,-16.6743319802,-16.8882731842,-17.2458859343,-17.2459038236,1,1,0.624511558772,1,1,0.879224137748,0.879883631904,0.879486840337,0.879883632036,0.879224119708,1.15950978297e-08,1.14842067043e-08,1.15350868614e-08,1.14842066496e-08,1.15951019674e-08,1.15950978297e-08,1.14842067043e-08,1.15350868614e-08,1.14842066496e-08,1.15951019674e-08,4.01530081579e-10,4.00123690172e-10,3.99739428311e-10,4.00123687418e-10,4.01530202436e-10,2.75614400516e-08,2.72978528744e-08,2.74187945362e-08,2.72978527445e-08,2.75614498867e-08,2.9996576705,2.99965756278,2.99965763098,2.99965756278,2.99965767051,2.13021851834e-05,2.12907941733e-05,2.12985962992e-05,2.1290794173e-05,2.13021854297e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4515986212,0.00282221823535,-0.00500887177458,0.325247798477,14.1241641691,3.1513680554e-13,-1.34837057291e-21,1.74134603016e-05,4.55462636679e-10,1.99516100447e-09
0.15,0.00075,5.625e-05,0,-16.8375722365,-16.594395519,-16.7514791624,-16.5943954927,-16.837578139,-17.2457391222,-17.2457570072,1,1,0.624511558772,1,1,0.871298121382,0.872040040855,0.87156098425,0.872040040934,0.87129810345,1.92245412174e-08,1.9015695978e-08,1.91251964932e-08,1.90156959029e-08,1.9224548067e-08,1.92245412174e-08,1.9015695978e-08,1.91251964932e-08,1.90156959029e-08,1.9224548067e-08,4.01530081579e-10,4.00123690172e-10,3.99739428311e-10,4.00123687418e-10,4.01530202436e-10,4.56965562572e-08,4.52001330592e-08,4.54604147687e-08,4.52001328808e-08,4.56965725387e-08,2.99959094193,2.99959079978,2.99959089262,2.99959079978,2.99959094193,2.55602234293e-05,2.5545108555e-05,2.55558475727e-05,2.55451085554e-05,2.5560223726e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3419183454,0.00412093459446,-0.00599227355118,0.391059922538,16.9489870839,1.81021864165e-13,-2.13769940063e-21,1.74132672239e-05,6.55866196818e-10,2.38864233526e-09
0.175,0.000875,7.65625e-05,0,-16.7869834398,-16.5146163776,-16.6997721536,-16.5146163683,-16.7869893666,-17.2455741733,-17.245592054,1,1,0.624511558772,1,1,0.864613266302,0.865436971383,0.864877483225,0.86543697141,0.86461324845,2.96000045169e-08,2.92397741466e-08,2.94467077454e-08,2.92397740544e-08,2.96000150656e-08,2.96000045169e-08,2.92397741466e-08,2.94467077454e-08,2.92397740544e-08,2.96000150656e-08,4.01530081579e-10,4.00123690172e-10,3.99739428311e-10,4.00123687418e-10,4.01530202436e-10,7.03589363369e-08,6.9502672086e-08,6.9994551332e-08,6.95026718669e-08,7.0358961411e-08,2.99952444592,2.99952426627,2.99952438668,2.99952426627,2.99952444593,2.98174715209e-05,2.97981550031e-05,2.98122700292e-05,2.97981550046e-05,2.98174718683e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2322380696,0.00567411657047,-0.00697565007471,0.457124990522,19.7738115456,1.27009514017e-13,-1.23825628977e-21,1.74131105472e-05,8.92706767891e-10,2.78215960113e-09
0.2,0.001,0.0001,0,-16.7365005617,-16.4349934685,-16.6478995569,-16.4349934762,-16.7365065126,-17.2453911323,-17.2454090086,1,1,0.624511558772,1,1,0.858836616022,0.859741505935,0.85910325399,0.859741505911,0.858836598231,4.3130755273e-08,4.25492720164e-08,4.29062085316e-08,4.25492719158e-08,4.31307706643e-08,4.3130755273e-08,4.25492720164e-08,4.29062085316e-08,4.25492719158e-08,4.31307706643e-08,4.01530081579e-10,4.00123690172e-10,3.99739428311e-10,4.00123687418e-10,4.01530202436e-10,1.02521405451e-07,1.0113922514e-07,1.01987659928e-07,1.01139224901e-07,1.02521442035e-07,2.9994582118,2.99945799158,2.99945814242,2.99945799158,2.9994582118,3.40739334754e-05,3.40499392364e-05,3.4067861157e-05,3.40499392393e-05,3.4073933874e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1225577939,0.00748431410139,-0.00795898651256,0.523442472836,22.5986406486,6.06070749143e-13,-4.49456857637e-22,1.74129902708e-05,1.1659843499e-09,3.17571354669e-09
0.225,0.001125,0.0001265625,0,-16.6861232537,-16.3555256808,-16.595863141,-16.3555257054,-16.6861292287,-17.2451900434,-17.2452079156,1,1,0.624511558772,1,1,0.853753429452,0.85473894207,0.854023469878,0.854738941996,0.853753411708,6.02216508317e-08,5.93304549837e-08,5.99056447842e-08,5.93304548901e-08,6.02216723672e-08,6.02216508317e-08,5.93304549837e-08,5.99056447842e-08,5.93304548901e-08,6.02216723672e-08,4.01530081579e-10,4.00123690172e-10,3.99739428311e-10,4.00123687418e-10,4.01530202436e-10,1.43146305756e-07,1.41027941487e-07,1.42395162311e-07,1.41027941265e-07,1.43146356946e-07,2.99939226725,2.99939200347,2.99939218753,2.99939200347,2.99939226725,3.83296132962e-05,3.83004669309e-05,3.83226185062e-05,3.83004669354e-05,3.83296137462e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0128775181,0.00955372116685,-0.00894226775724,0.59001184163,25.4234771299,6.03517236186e-13,-9.0314888001e-22,1.74129063943e-05,1.47569894284e-09,3.5693046836e-09
