cell,x_um,time_s,T_C,vapor_kg_m3,liquid_kg_m3,ice_kg_m3,ice_bulk
1,4.6875,77.0368783891,-5.14545330454,8.95289757617e-08,0,0,0
1,14.0625,77.0368783891,-5.14545330454,2.68586926475e-07,0,0,0
1,23.4375,77.0368783891,-5.14545330454,4.47644874755e-07,0,0,0
1,32.8125,77.0368783891,-5.14545330454,6.26702818983e-07,0,0,0
1,42.1875,77.0368783891,-5.14545330454,8.05760757533e-07,0,0,0
1,51.5625,77.0368783891,-5.14545330454,9.84818688783e-07,0,0,0
1,60.9375,77.0368783891,-5.14545330454,1.16387661111e-06,0,0,0
1,70.3125,77.0368783891,-5.14545330454,1.34293452287e-06,0,0,0
1,79.6875,77.0368783891,-5.14545330454,1.52199242246e-06,0,0,0
1,89.0625,77.0368783891,-5.14545330454,1.70105030822e-06,0,0,0
1,98.4375,77.0368783891,-5.14545330454,1.88010817853e-06,0,0,0
1,107.8125,77.0368783891,-5.14545330454,2.05916603174e-06,0,0,0
1,117.1875,77.0368783891,-5.14545330454,2.2382238662e-06,0,0,0
1,126.5625,77.0368783891,-5.14545330454,2.41728168028e-06,0,0,0
1,135.9375,77.0368783891,-5.14545330454,2.59633947231e-06,0,0,0
1,145.3125,77.0368783891,-5.14545330454,2.77539724064e-06,0,0,0
1,150.283333333,77.0368783891,-5.14545330454,1.41011602616e-06,0,0,0
1,150.85,77.0368783891,-5.14545330454,1.42558541465e-06,0,0,0
1,151.416666667,77.0368783891,-5.14545330454,1.44105480307e-06,0,0,0
1,151.983333333,77.0368783891,-5.14545330454,1.45652419142e-06,0,0,0
1,152.55,77.0368783891,-5.14545330454,1.4719935797e-06,0,0,0
1,153.116666667,77.0368783891,-5.14545330454,1.48746296791e-06,0,0,0
1,153.9,77.0368783891,-5.14545330454,0,213.262023313,85.250739111,0.0926638468598
1,154.9,77.0368783891,-5.14545330454,0,220.376304676,91.9541784285,0.099950193944
1,155.9,77.0368783891,-5.14545330454,0,227.872043197,98.9746326392,0.107581122434
1,156.9,77.0368783891,-5.14545330454,0,235.795403387,106.378601775,0.115628914973
1,157.9,77.0368783891,-5.14545330454,0,244.176448372,114.195455499,0.124125495107
1,158.9,77.0368783891,-5.14545330454,0,253.045852696,122.457335285,0.133105799223
1,159.9,77.0368783891,-5.14545330454,0,262.435505436,131.201117279,0.142609910086
1,160.9,77.0368783891,-5.14545330454,0,272.379086656,140.472404936,0.15268739667
1,161.9,77.0368783891,-5.14545330454,0,282.914126101,150.288438809,0.163356998706
1,162.9,77.0368783891,-5.14545330454,0,294.090143949,160.675801932,0.174647610795
1,163.9,77.0368783891,-5.14545330454,0,305.999524924,171.674583635,0.186602808299
1,164.9,77.0368783891,-5.14545330454,0,319.606421529,185.357797398,0.201475866737
1,166.10625,77.0368783891,-5.14545330454,2.2542594358e-05,37.6073999826,37.4982849188,0.0407590053465
1,167.51875,77.0368783891,-5.14545330454,2.21848655622e-05,38.1453203314,39.4322202645,0.0428611089831
1,168.93125,77.0368783891,-5.14545330454,2.19896441601e-05,38.156694382,39.5691008067,0.0430098921812
1,170.34375,77.0368783891,-5.14545330454,2.1801181069e-05,38.1572143462,39.6154305798,0.0430602506302
1,171.75625,77.0368783891,-5.14545330454,2.16175202113e-05,38.1471849652,39.5976918139,0.0430409693629
