case,stage,J,T_target_C,t_plan_s,K_P,K_I,taper_K,hold_s,q_boost_min,ice_warn,delta_V,risk_warn,L_obs,rate_gain,ff_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case1,DE_seed20260926,0.991340229718,1,60,0.15,0.015,1,2,0.6,0.8,0.1,0.7,0.02,0.1,1,68.7563943386,70.7563943386,70.7563943386,3139.23077455,1334.24579342,6.41272869247,240.559717846,4239.32957882,8.32756086311e-12,8.16404235882e-19,0.589873491932,0.145924127493,6.57579440145,0.140093589893,6.71588799134,-16.2484970274,0.335479410805,0.0113194574421,0.433085516812,0,9.98294780175e-10,1,11.6269183016,0.140093589893,0.600122515924,0.145809288617,0,3052.34316877,8.29685712495e-19,True
case1,DE_seed20260926,1.08338628928,3.36006912983,24.6472137051,0.394668878698,0.0191447521218,0.531937126992,2,0.6,0.8,0.1,0.7,0.02,0.327562761304,1,49.4772920132,51.4772920132,51.4772920132,3444.83543682,688.170046259,-1.31306820011,211.137653917,3920.55476096,-1.52340362547e-11,8.13151629364e-22,0.6219832975,0.0439843221921,10.5736218831,0.510077420784,7.16345291049,-17.9298082688,0.374121837381,0.00909810563425,0.433085516812,0,9.94848425862e-10,1,6.12000606239,0.510077420784,0.6219832975,0.0439068182657,0,3344.83543682,8.45677694539e-20,True
case1,DE_seed20260926,0.98181600346,1.99421290656,67.6389075755,0.0407044817774,0.0215551971304,0.903800512854,2,0.6,0.8,0.1,0.7,0.02,0.150862591766,1,71.0900230169,73.0900230169,73.0900230169,3107.41425446,1416.70160454,7.51147466477,243.065905269,4288.56142839,-3.16617843055e-11,1.51788304148e-18,0.585928778202,0.161674481172,6.15814571889,0.591222264815,6.74936798371,-16.0605221871,0.329878298005,0.0114066359675,0.433085516812,0,9.98200633262e-10,1,12.3270069051,0.591222264815,0.599401763617,0.161341366609,0,3007.80688832,1.51788304148e-18,True
case1,DE_seed20260926,1.02749033194,1.54682558841,44.6934235261,0.333178359111,0.057113436217,1.71292329768,2,0.6,0.8,0.1,0.7,0.02,0.361048873605,1,59.1762724638,61.1762724638,61.1762724638,3260.67201077,1000.12105128,1.80478897348,221.740269817,4040.85758121,-2.22826201934e-11,-9.08019319457e-20,0.604887964768,0.0923243121115,7.07742022359,0.133484524101,7.21090474769,-17.2915616458,0.355285324243,0.0109519139569,0.433085516812,0,9.99442306693e-10,1,8.75457805677,0.133484524101,0.605457008006,0.0922645602041,0,3173.94370095,1.1899118843e-19,True
case1,DE_seed20260926,1.12062240433,1.24246609673,5.56078656359,0.534363440525,0.0300079245348,0.355813718781,2,0.6,0.8,0.1,0.7,0.02,0.286757460936,1,49.0064640045,51.0064640045,51.0064640045,3563.69382491,672.471516764,-1.76414178419,224.412281356,4009.98891853,-4.43378667114e-12,1.44469939484e-19,0.623943129281,0.0379308152815,14.4088766649,0.539950530397,6.31722247254,-17.3989041054,0.377192774318,0.00899560698256,0.433085516812,0,9.88795711976e-10,1,6.00408378556,0.539950530397,0.623943129281,0.0378600371241,0,3463.69382491,1.71846044339e-19,True
case1,DE_seed20260926,1.00656146191,3.36875495664,54.511688783,0.606481504742,0.0097526255143,0.383568163173,2,0.6,0.8,0.1,0.7,0.02,0.101197020404,1,61.5519849539,63.5519849539,63.5519849539,3192.17752262,1085.06444036,3.47090230011,220.854014555,4059.85885073,9.77706804406e-12,-7.99599102208e-20,0.60036349068,0.110677041813,6.86880038427,0.577567548196,7.44636793246,-17.2774397803,0.349171850866,0.0110363649954,0.433085516812,0,9.97617988219e-10,1,9.46559548616,0.577567548196,0.60425045331,0.110453526022,0,3092.17752262,1.70761842166e-19,True
case1,DE_seed20260926,1.09763441762,3.96349662561,16.7032526655,0.217932415852,0.0398666574804,0.968192124144,2,0.6,0.8,0.1,0.7,0.02,0.00834756805664,1,46.4880603552,48.4880603552,48.4880603552,3491.63768855,604.890339379,-1.71444478008,208.348443135,3886.46514002,-4.8601123126e-12,1.90548531814e-19,0.627050782241,0.0327903376827,13.2948804872,0.483101098955,7.13987004062,-18.0932439395,0.379074247986,0.00849974827646,0.433085516812,0,8.55137738398e-10,1,5.40284938897,0.483101098955,0.627050782241,0.0327356739239,0,3391.63768855,1.96105067948e-19,True
case1,DE_seed20260926,1.12119908509,0.269084613718,68.9494747017,0.636260959187,0.0338791233723,0.428198111511,2,0.6,0.8,0.1,0.7,0.02,0.301411140504,1,73.0958390474,93.1,93.1,3542.42019024,2072.26280883,3.84183811537,351.741993255,5266.78284393,1.97246663447e-11,7.1991024253e-18,0.581859962091,0.178186576473,9.39071897902,0.0212307331733,9.41194971219,-11.2924928691,0.301137229605,0.0122066385869,0.433085516812,0,9.96362228833e-10,1,12.9287517142,0.0212307331733,0.600672940378,0.178067842298,0,2953.04254186,7.1991024253e-18,True
case1,DE_seed20260926,0.954536423366,3.87303770618,80.9886152661,0.147511085002,0.0466204137084,0.745252088495,2,0.6,0.8,0.1,0.7,0.02,0.249306351715,1,74.9549514055,76.9549514055,76.9549514055,3017.63281047,1554.22798585,9.61424066814,246.167306747,4335.30773024,-4.60431692773e-12,1.87539870786e-18,0.578108520802,0.192617116083,6.12990051843,0.582326742956,6.71222726139,-15.8219170248,0.320220979997,0.0115757444297,0.433085516812,0,9.98340965452e-10,1,13.4864854217,0.582326742956,0.595707875814,0.192226360782,0,2917.63281047,1.92229045182e-18,True
case1,DE_seed20260926,11.1048579308,0.66153334922,72.8863578937,0.421211702279,0.012902801018,1.3531211,2,0.6,0.8,0.1,0.7,0.02,0.348700802066,1,74.6994117975,-1,96.6666666667,3546.05192694,2193.02457497,3.97992630896,365.516411773,5377.54001645,-4.26325641456e-12,1.55160172904e-17,0.578662104886,0.190749392889,9.389384514,0.0641941258596,9.40352978321,-10.7374070983,0.294515374271,0.0123710194825,0.433085516812,0,9.98204185976e-10,1,13.4098235393,-30,1.26757512098,0,0,2921.90568268,1.55550485686e-17,False
