cooling_min,energy_released_J,convective_loss_J,residual_J,relative_residual,surface_left_C,surface_right_C,mean_capacity_C
10.0,5164.685824535502,5164.685824596251,-6.07490073889494e-08,1.1762381963362311e-11,3.4160586909713118,3.4160122479905297,3.8124055081136077
15.0,6944.2541919230325,6944.254192004702,-8.167000487446785e-08,1.1760802905149912e-11,-3.7988621042440833,-3.7988988634042613,-3.4880914087896326
20.0,8339.592771920403,8339.592772018486,-9.808340109884739e-08,1.1761173930350222e-11,-9.455996611742734,-9.456025460537937,-9.212324985868404
25.0,9433.661304778956,9433.661304889905,-1.1094962246716023e-07,1.1761035178457675e-11,-13.891689107108963,-13.891711729132215,-13.700629058580299
30.0,10291.507544931997,10291.507545053042,-1.21045159175992e-07,1.1761654805918119e-11,-17.369663307413177,-17.369681045230145,-17.219855375582213
35.0,10964.134669872685,10964.13467000163,-1.2894393876194955e-07,1.1760521249001298e-11,-20.09670188091397,-20.096715788939065,-19.979239247449854
40.0,11491.533669867442,11491.53367000261,-1.3516750186681747e-07,1.1762355291291304e-11,-22.234940681113958,-22.234951586233407,-22.142839614819792
45.0,11905.061008985675,11905.061009125702,-1.4002900570631026e-07,1.17621409584226e-11,-23.91150851961018,-23.911517070185873,-23.839293159181103
50.0,12229.302921086197,12229.30292123002,-1.4382414519786835e-07,1.1760616784615065e-11,-25.226085599034782,-25.226092303440403,-25.169462386169386
55.0,12483.537182324597,12483.537182471413,-1.4681601896882058e-07,1.1760770751473944e-11,-26.256829991279904,-26.256835248125302,-26.212432397524907
60.0,12682.879269745408,12682.879269894564,-1.4915596693754196e-07,1.1760418416451273e-11,-27.065024519218706,-27.065028641049217,-27.03021288929727
65.0,12839.181050723799,12839.181050874799,-1.509999856352806e-07,1.1760873613256518e-11,-27.698720321887592,-27.698723553766317,-27.67142493321237
70.0,12961.735434763352,12961.735434915763,-1.5241093933582306e-07,1.1758528794458895e-11,-28.195593730996563,-28.195596265074574,-28.174191738483927
75.0,13057.828882664573,13057.828882818134,-1.5356112271547317e-07,1.1760080798680033e-11,-28.58518631412524,-28.585188301065934,-28.568405264074578
80.0,13133.174622451113,13133.174622605602,-1.5448778867721557e-07,1.1763171747760002e-11,-28.8906612661881,-28.89066282412488,-28.877503442651978
85.0,13192.252328870982,13192.252329026172,-1.5519093722105025e-07,1.1763793880853688e-11,-29.130180575278715,-29.130181796838578,-29.119863680943432
90.0,13238.574462089398,13238.57446224514,-1.557404175400734e-07,1.1764138048704484e-11,-29.317984842174674,-29.317985799985365,-29.309895486937975
95.0,13274.895100718373,13274.89510087456,-1.5618745237588884e-07,1.176562610784297e-11,-29.465239954082943,-29.465240705091013,-29.45889718599608
100.0,13303.373685333558,13303.373685490054,-1.5649711713194847e-07,1.1763716545411361e-11,-29.58070095154329,-29.580701540399865,-29.575727661852493
