cooling_min,cv,x_mm,dx_mm,layer,material,node,capacity_J_m2K,k_W_mK,temperature_C
10.0,0,0.25,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.4383360634319615
10.0,1,0.75,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.4811058130903376
10.0,2,1.25,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.522088284363747
10.0,3,1.75,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.56128128953803
10.0,4,2.2500000000000004,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.5986827364236973
10.0,5,2.75,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.634290628467646
10.0,6,3.2500000000000004,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.668103064859679
10.0,7,3.75,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.700118240634062
10.0,8,4.25,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.7303344467658164
10.0,9,4.750000000000001,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.7587500702619394
10.0,10,5.250000000000001,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.785363594247528
10.0,11,5.750000000000002,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.8101735980467666
10.0,12,6.250000000000002,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.8331787572587643
10.0,13,6.750000000000003,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.8543778438282317
10.0,14,7.250000000000003,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.873769726111057
10.0,15,7.7500000000000036,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.8913533689346806
10.0,16,8.250000000000004,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.907127833653405
10.0,17,8.750000000000004,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.921092278198465
10.0,18,9.250000000000005,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.933245957122999
10.0,19,9.750000000000005,0.5,EP_L,EP,TEL_C,1975.0,15.0,3.943588221641839
10.0,20,10.166666666666671,0.3333333333333333,BP0,BP,T1_C,505.56,95.0,3.9483023337078933
10.0,21,10.500000000000004,0.3333333333333333,BP0,BP,T1_C,505.56,95.0,3.9491514291692553
10.0,22,10.833333333333337,0.3333333333333333,BP0,BP,T1_C,505.56,95.0,3.9499516927628235
10.0,23,11.16666666666667,0.3333333333333333,BP0,BP,T1_C,505.56,95.0,3.9507031233375187
10.0,24,11.500000000000004,0.3333333333333333,BP0,BP,T1_C,505.56,95.0,3.9514057198124917
10.0,25,11.833333333333336,0.3333333333333333,BP0,BP,T1_C,505.56,95.0,3.9520594811771517
10.0,26,12.018750000000004,0.0375,cell1_aGDL,aGDL,T1_C,3.7809375,0.3,3.9631371759890826
10.0,27,12.056250000000002,0.0375,cell1_aGDL,aGDL,T1_C,3.7809375,0.3,3.9846746247083757
10.0,28,12.093750000000002,0.0375,cell1_aGDL,aGDL,T1_C,3.7809375,0.3,4.006199049583323
10.0,29,12.131250000000001,0.0375,cell1_aGDL,aGDL,T1_C,3.7809375,0.3,4.027710442365155
10.0,30,12.150850000000002,0.0017000000000000001,cell1_aCL,aCL,T1_C,0.39576,0.27,4.039001058575117
10.0,31,12.152550000000002,0.0017000000000000001,cell1_aCL,aCL,T1_C,0.39576,0.27,4.040083869773561
10.0,32,12.156400000000003,0.006,cell1_PEM,PEM,T1_C,13.545,0.24,4.042774803140155
10.0,33,12.162400000000003,0.006,cell1_PEM,PEM,T1_C,13.545,0.24,4.047064580059768
10.0,34,12.168225000000003,0.0056500000000000005,cell1_cCL,cCL,T1_C,1.31532,0.27,4.050996232764454
10.0,35,12.173875000000002,0.0056500000000000005,cell1_cCL,cCL,T1_C,1.31532,0.27,4.054578349862901
10.0,36,12.195450000000001,0.0375,cell1_cGDL,cGDL,T1_C,3.7809375,0.3,4.0670655594189
10.0,37,12.23295,0.0375,cell1_cGDL,cGDL,T1_C,3.7809375,0.3,4.088445566056578
10.0,38,12.27045,0.0375,cell1_cGDL,cGDL,T1_C,3.7809375,0.3,4.109812509081912
10.0,39,12.30795,0.0375,cell1_cGDL,cGDL,T1_C,3.7809375,0.3,4.131166380306489
10.0,40,12.493366666666665,0.3333333333333333,BP1,BP,T1_C,505.56,95.0,4.142136295803752
10.0,41,12.826699999999999,0.3333333333333333,BP1,BP,T1_C,505.56,95.0,4.142686226102811
10.0,42,13.160033333333331,0.3333333333333333,BP1,BP,T1_C,505.56,95.0,4.143187046155802
10.0,43,13.493366666666665,0.3333333333333333,BP1,BP,T2_C,505.56,95.0,4.143638755242357
10.0,44,13.826699999999997,0.3333333333333333,BP1,BP,T2_C,505.56,95.0,4.144041352712733
10.0,45,14.160033333333331,0.3333333333333333,BP1,BP,T2_C,505.56,95.0,4.144394837987846
10.0,46,14.345449999999998,0.0375,cell2_aGDL,aGDL,T2_C,3.7809375,0.3,4.149968660701305
10.0,47,14.382949999999997,0.0375,cell2_aGDL,aGDL,T2_C,3.7809375,0.3,4.160798846367079
10.0,48,14.420449999999995,0.0375,cell2_aGDL,aGDL,T2_C,3.7809375,0.3,4.171615940692639
10.0,49,14.457949999999995,0.0375,cell2_aGDL,aGDL,T2_C,3.7809375,0.3,4.182419939532544
10.0,50,14.477549999999995,0.0017000000000000001,cell2_aCL,aCL,T2_C,0.39576,0.27,4.18808715993449
10.0,51,14.479249999999995,0.0017000000000000001,cell2_aCL,aCL,T2_C,0.39576,0.27,4.188630632446738
10.0,52,14.483099999999997,0.006,cell2_PEM,PEM,T2_C,13.545,0.24,4.18998114980316
10.0,53,14.489099999999997,0.006,cell2_PEM,PEM,T2_C,13.545,0.24,4.192129393268942
