layer,name,material,x_left_mm,x_right_mm,thickness_m,rho_kg_m3,cp_J_kgK,k_W_mK,capacity_J_m2K,control_volumes
0,EP_L,EP,0.0,10.0,0.01,7900.0,500.0,15.0,39500.0,20
1,BP0,BP,10.0,12.0,0.002,1980.0,766.0,95.0,3033.36,6
2,cell1_aGDL,aGDL,12.0,12.15,0.00015,185.0,545.0,0.3,15.123749999999998,4
3,cell1_aCL,aCL,12.15,12.153400000000001,3.4e-06,970.0,240.0,0.27,0.79152,2
4,cell1_PEM,PEM,12.153400000000001,12.165400000000002,1.2e-05,2150.0,1050.0,0.24,27.09,2
5,cell1_cCL,cCL,12.165400000000002,12.176700000000002,1.13e-05,970.0,240.0,0.27,2.63064,2
6,cell1_cGDL,cGDL,12.176700000000002,12.326700000000002,0.00015,185.0,545.0,0.3,15.123749999999998,4
7,BP1,BP,12.326700000000002,14.326700000000002,0.002,1980.0,766.0,95.0,3033.36,6
8,cell2_aGDL,aGDL,14.326700000000002,14.476700000000005,0.00015,185.0,545.0,0.3,15.123749999999998,4
9,cell2_aCL,aCL,14.476700000000005,14.480100000000004,3.4e-06,970.0,240.0,0.27,0.79152,2
10,cell2_PEM,PEM,14.480100000000004,14.492100000000004,1.2e-05,2150.0,1050.0,0.24,27.09,2
11,cell2_cCL,cCL,14.492100000000004,14.503400000000005,1.13e-05,970.0,240.0,0.27,2.63064,2
12,cell2_cGDL,cGDL,14.503400000000005,14.653400000000005,0.00015,185.0,545.0,0.3,15.123749999999998,4
13,BP2,BP,14.653400000000005,16.653400000000005,0.002,1980.0,766.0,95.0,3033.36,6
14,cell3_aGDL,aGDL,16.653400000000005,16.803400000000007,0.00015,185.0,545.0,0.3,15.123749999999998,4
15,cell3_aCL,aCL,16.803400000000007,16.806800000000006,3.4e-06,970.0,240.0,0.27,0.79152,2
16,cell3_PEM,PEM,16.806800000000006,16.81880000000001,1.2e-05,2150.0,1050.0,0.24,27.09,2
17,cell3_cCL,cCL,16.81880000000001,16.83010000000001,1.13e-05,970.0,240.0,0.27,2.63064,2
18,cell3_cGDL,cGDL,16.83010000000001,16.980100000000007,0.00015,185.0,545.0,0.3,15.123749999999998,4
19,BP3,BP,16.980100000000007,18.980100000000007,0.002,1980.0,766.0,95.0,3033.36,6
20,cell4_aGDL,aGDL,18.980100000000007,19.130100000000006,0.00015,185.0,545.0,0.3,15.123749999999998,4
21,cell4_aCL,aCL,19.130100000000006,19.13350000000001,3.4e-06,970.0,240.0,0.27,0.79152,2
22,cell4_PEM,PEM,19.13350000000001,19.14550000000001,1.2e-05,2150.0,1050.0,0.24,27.09,2
23,cell4_cCL,cCL,19.14550000000001,19.156800000000008,1.13e-05,970.0,240.0,0.27,2.63064,2
24,cell4_cGDL,cGDL,19.156800000000008,19.30680000000001,0.00015,185.0,545.0,0.3,15.123749999999998,4
25,BP4,BP,19.30680000000001,21.306800000000006,0.002,1980.0,766.0,95.0,3033.36,6
26,cell5_aGDL,aGDL,21.306800000000006,21.45680000000001,0.00015,185.0,545.0,0.3,15.123749999999998,4
27,cell5_aCL,aCL,21.45680000000001,21.460200000000007,3.4e-06,970.0,240.0,0.27,0.79152,2
28,cell5_PEM,PEM,21.460200000000007,21.47220000000001,1.2e-05,2150.0,1050.0,0.24,27.09,2
29,cell5_cCL,cCL,21.47220000000001,21.48350000000001,1.13e-05,970.0,240.0,0.27,2.63064,2
30,cell5_cGDL,cGDL,21.48350000000001,21.63350000000001,0.00015,185.0,545.0,0.3,15.123749999999998,4
31,BP5,BP,21.63350000000001,23.63350000000001,0.002,1980.0,766.0,95.0,3033.36,6
32,EP_R,EP,23.63350000000001,33.63350000000001,0.01,7900.0,500.0,15.0,39500.0,20
