case,parameter,factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case1,G,0.8,94.6405681551,96.6405681551,96.6405681551,2863.22460953,2241.18051118,15.5219210153,296.212089353,4823.71495237,5.44559952687e-10,4.953177625e-18,0.55135090427,0.341931839717,7.98885576181,0.042415661237,8.03127142305,-13.4185376745,0.278059976437,0.0125141866658,0.432997383168,0,5.75340664e-10,0.925208616929,19.3921704465,0.042415661237,0.577390040085,0.341746379713,0,2787.17832463,1.3111798973e-17,True
case1,G,1.2,94.6391341388,96.6391341388,96.6391341388,2804.07175889,2248.79358021,18.5529759056,296.20359795,4775.21471706,-2.38912889472e-10,1.06311444023e-17,0.551349585229,0.341931208692,5.671903955,0.0426210681119,5.52794215569,-13.4189088369,0.278059968722,0.0125140805705,0.432998483422,0,5.75330005859e-10,0.921637245473,19.3917402416,0.0426210681119,0.577390410127,0.34174434354,0,2728.82313366,1.59979451561e-17,True
case1,G_EP,0.8,94.639836669,96.639836669,96.639836669,2418.13893418,2245.48171927,17.1740334854,296.208140495,4384.58654644,5.36715560884e-10,7.54658922159e-18,0.551347512291,0.341938933077,6.60941500409,0.0418480306952,6.54441022469,-15.4963559212,0.278060796685,0.0125141426566,0.433012695892,0,5.75340664e-10,0.824311855845,19.3919510007,0.0418480306952,0.577389605927,0.341742080103,0,2351.87558333,1.50693259954e-17,True
case1,G_EP,1.2,94.6397390962,96.6397390962,96.6397390962,3165.09613716,2245.47395368,17.1734970738,296.207453486,5131.53613443,5.85487214266e-12,5.61345674804e-18,0.551352908122,0.341925740777,6.60979686288,0.0420895341496,6.54421725399,-11.7142331473,0.278059938577,0.0125141342489,0.432983366432,0,5.75344216713e-10,0.988655700163,19.3919217288,0.0420895341496,0.577389092672,0.341745371199,0,3083.46155479,1.46513660579e-17,True
case1,h,0.8,94.639712882,96.639712882,96.639712882,2769.23685917,2245.47535945,17.173729618,236.966039213,4794.91990903,4.03019839723e-10,6.25909914176e-18,0.551350026118,0.341931869452,6.60955537161,0.0423852007665,6.54433029652,-13.4187213102,0.27806038675,0.012514123738,0.432999029979,0,5.75337111286e-10,0.898523251698,19.3919138646,0.0423852007665,0.577390349497,0.341743018052,0,2696.06564984,1.46638343829e-17,True
case1,h,1.2,94.6396642387,96.6396642387,96.6396642387,2887.68762212,2245.47381709,17.1739509332,355.447321068,4794.88806908,4.41787051386e-10,6.48027638495e-18,0.551350287003,0.341931635352,6.60960783564,0.0422862231445,6.54416839724,-13.4188210297,0.278059589141,0.012514127662,0.43299683973,0,5.75337111286e-10,0.946659734023,19.3918992716,0.0422862231445,0.577389183574,0.341747892043,0,2809.73442783,1.45754719058e-17,True
case1,T_target,0.8,94.8542152882,-1,96.6666666667,2818.62456937,2246.81891501,17.3281716028,295.701109904,4787.07054608,3.92844867747e-10,5.87474947161e-18,0.551163268513,0.343439032255,6.62048492396,-0.00611845931966,6.49052862176,-13.4462158519,0.277852403082,0.0125183229054,0.432967300797,0,5.74985392632e-10,0.91922516686,19.4562645864,-30,1.26757512098,0,0,2751.77505747,1.4947353251e-17,False
case1,T_target,1.2,94.426196605,96.426196605,96.426196605,2831.99766569,2237.96650356,17.0850933909,295.590148484,4791.45911416,4.89649210067e-10,5.7847606913e-18,0.551536989544,0.3404330985,6.59868695294,0.10348430493,6.54860608606,-13.4448913213,0.278487574383,0.0125019805586,0.433028367761,0,8.71470895447e-10,0.925952990941,19.3278589815,0.10348430493,0.577722448894,0.340097964069,0,2754.00866242,1.46307662166e-17,True
case1,K_P,0.8,94.6205898821,96.6205898821,96.6205898821,2827.76282342,2244.85145977,17.1813097384,296.091592634,4793.7040003,3.85398379876e-10,5.44052650153e-18,0.551347784191,0.341937388996,6.61289514358,0.0412959579734,6.53966377449,-13.4242923815,0.278080819086,0.0125135003311,0.433013791947,0,5.75337111286e-10,0.923400070256,19.3861769646,0.0412959579734,0.577380512633,0.341749849357,0,2752.15251243,1.42507533551e-17,True
case1,K_P,1.2,94.6532562792,96.6532562792,96.6532562792,2828.97649512,2245.91566257,17.1683874765,296.288826332,4795.77171884,4.59522198071e-10,5.66007744146e-18,0.551351881652,0.34192681161,6.60712916206,0.0435492530081,6.54751979831,-13.4148298813,0.278028681165,0.0125148251092,0.432982434713,0,5.75337111286e-10,0.922029126992,19.3959768838,0.0435492530081,0.577397517787,0.341741235352,0,2753.43635597,1.44567517679e-17,True
case1,K_I,0.8,94.7223182499,-1,96.6666666667,2828.88034534,2246.40742789,17.1734783397,296.360572547,4796.10067902,3.86364717997e-10,6.01732205729e-18,0.551264158687,0.342006002782,6.57690777143,0.0431648884547,6.54342305679,-13.4125603772,0.278023344683,0.0125153894485,0.433031296753,0,5.75337111286e-10,0.920695136532,19.416695475,-30,1.26757512098,0,0,2755.52009825,1.49489795542e-17,False
case1,K_I,1.2,94.6923591554,-1,96.6666666667,2829.92863801,2246.29197121,17.1531990954,296.384131068,4796.98967725,3.86478404835e-10,5.4849787906e-18,0.551439225891,0.341838445614,6.62731354764,0.0432661920818,6.55644052915,-13.4094362016,0.278031536095,0.0125152614377,0.43296450189,0,5.75337111286e-10,0.917733024752,19.4077077466,-30,1.26757512098,0,0,2755.50704164,1.50980573529e-17,False
case1,ice_warn,0.8,94.6396886587,96.6396886587,96.6396886587,2828.46932138,2245.47459189,17.1738408623,296.206825314,4794.91092883,3.96482846554e-10,4.47396026476e-18,0.551350156543,0.341931752391,6.60958157854,0.0426327945813,6.54424780091,-13.4187711453,0.278059981053,0.0125141198163,0.4329979348,0,5.75337111286e-10,0.92259148371,19.3919065976,0.0426327945813,0.577390412164,0.341745466068,0,2752.90010564,1.38533932589e-17,True
